nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Estádio Joaquim Domingos Roriz,Rorizão,https://scontent-bsb1-1.xx.fbcdn.net/v/t1.6435-9/99292397_113608080365599_8660409477704450048_n.jpg?stp=dst-jpg_tt6&cstp=mx960x540&ctp=s960x540&_nc_cat=110&ccb=1-7&_nc_sid=0b6b33&_nc_ohc=CZfFoe9FO0QQ7kNvwFQbN81&_nc_oc=AdooaXqVdhWvN94Ue-sQbaWdeYOoCJnI_n16gd21sXD5CaB0FMYKwFkRveUcjRVFTeI&_nc_zt=23&_nc_ht=scontent-bsb1-1.xx&_nc_gid=6IZ0L-AJeBZv8W9oj-GEZw&_nc_ss=7a2a8&oh=00_AQK9snxpD76E6kfKDPUUOnASIvd2LGQZartbRcDVJtRcNw&oe=6AD39FF6,rorizao-df,Samambaia - DF,DF,5.000
Estádio Elmo Serejo Farias,Serejão,https://assets.candangol.com.br/stadiums/serejao/avatar.webp,serejao-df,Taguatinga - DF,DF,27.000
Estádio Engenheiro Alencar Araripe,Engenheiro Araripe,https://s2-ge.glbimg.com/-hOoBSHM8mP-E8Y3O2tAFZt6dEE=/0x0:2048x1152/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2024/m/m/9Im8uqTSejtk6dMpPbxg/estadio-da-desportiva-engenheiro-araripe-em-jardim-america-cariacica-2102751.jpg,engenheiroararipe-es,Cariacica - ES,ES,8.000
Estádio Estadual Kléber José de Andrade,Kleber Andrade,https://descubracariacica.com.br/wp-content/uploads/2024/05/ESTADIO-KLEBER-ANDRADE-2.jpg,kleberandrade-es,Cariacica - ES,ES,21.000
Estádio Municipal Roberto Siqueira Costa,Robertão,,robertao-es,Serra - ES,ES,2.000
Estádio Salvador Venâncio Costa,Salvador Costa,,salvadorcosta-es,Vitória - ES,ES,6.500
Estádio Municipal Abrão Manoel Costa,Abrão Manoel Costa,https://trindade.go.gov.br/wp-content/uploads/2025/06/WhatsApp-Image-2025-06-11-at-13.31.13-1.jpeg,abraomanoelcosta-go,Trindade - GO,GO,4.000
Estádio Municipal Amintas de Freitas,Amintas de Freitas,https://s2-ge.glbimg.com/hzwOOonxdvOzL6U2fOzcG8fCr-w=/0x0:1776x1184/924x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2021/m/s/9Y6hB0RnCsjgCJqzzgzw/amintas.jpg,amintasdefreitas-go,Jaraguá - GO,GO,4.000
Estádio Municipal Annibal Batista de Toledo,Annibal Batista de Toledo,https://753383666.r.cdnsun.net/addons/default/modules/stats/img/venues/600/2946.webp,annibalbatistadetoledo-go,Aparecida de Goiânia - GO,GO,4.800
Estádio Antônio Accioly,Antônio Accioly,https://i.ytimg.com/vi/8daYCvhUhu8/sddefault.jpg,antonioaccioly-go,Goiânia - GO,GO,12.500
